Ad Name,Spend,Impressions,Clicks,Conversions,Ad Copy
Summer Sale 50% Off - Urgent,2400,85000,2100,42,"Limited time! 50% off everything. Shop now before it's gone. Free shipping over $50."
New Arrival Teaser,1800,92000,850,8,"Just landed. Fresh styles for the season. Take a look."
Generic Brand Awareness,1500,110000,420,0,"We make great products. Learn more about our story and values."
Discount Flash 24h,980,31000,1600,55,"Flash sale! 24 hours only. 40% off. Don't miss out — click now."
Founder Story Long Form,3200,65000,720,3,"Our founder started this company in a garage with a big dream. Discover the story."
Trust Badges Hero,600,40000,300,0,"Trusted by thousands. Shop with confidence."
Bestseller Spotlight,1750,58000,1400,31,"Our #1 bestseller is back in stock. See why everyone loves it."
Free Gift Promo,1250,47000,980,19,"Buy one, get a free gift. Limited quantities. Order today."
Holiday Gift Guide,2200,73000,1100,12,"The ultimate holiday gift guide. Find the perfect gift."
Comparison Chart Ad,900,28000,650,0,"See how we compare to the competition."
Loyalty Member Exclusive,1450,39000,1050,28,"Members get more. Join free and save 15% today."
